hidden_layers,batch_normalization,dropout_rate,learning_rate,batch_size,epochs,optimizer,clip_value,loss,accuracy
"[64, 32]",True,0.3,0.001,16,20,Adam,0.5,1.110191822052002,0.5604293047130191
"[64, 32]",True,0.3,0.001,16,20,SGD,0.5,1.2890360355377197,0.4888007466168922
"[64, 32]",True,0.3,0.0001,16,20,Adam,0.5,1.1582971811294556,0.5326644890340644
"[64, 32]",True,0.3,0.0001,16,20,SGD,0.5,1.5262831449508667,0.3240783947736818
"[16, 16, 16]",True,0.3,0.001,16,20,Adam,0.5,1.202710509300232,0.5160989267382174
"[16, 16, 16]",True,0.3,0.001,16,20,SGD,0.5,1.414270281791687,0.43607092860475966
"[16, 16, 16]",True,0.3,0.0001,16,20,Adam,0.5,1.257028579711914,0.5093327111525898
"[16, 16, 16]",True,0.3,0.0001,16,20,SGD,0.5,1.5888901948928833,0.21651889874008398
"[128, 16]",True,0.3,0.001,16,20,Adam,0.5,1.1180864572525024,0.566962202519832
"[128, 16]",True,0.3,0.001,16,20,SGD,0.5,1.305409550666809,0.4969668688754083
"[128, 16]",True,0.3,0.0001,16,20,Adam,0.5,1.1510374546051025,0.5534297713485767
"[128, 16]",True,0.3,0.0001,16,20,SGD,0.5,1.577699899673462,0.29514699020065327
"[64, 32]",True,0.7,0.001,16,20,Adam,0.5,1.2156504392623901,0.5020998600093327
"[64, 32]",True,0.7,0.001,16,20,SGD,0.5,1.4853500127792358,0.44400373308446106
"[64, 32]",True,0.7,0.0001,16,20,Adam,0.5,1.2589378356933594,0.48786747550163323
"[64, 32]",True,0.7,0.0001,16,20,SGD,0.5,1.5802806615829468,0.24241717218852077
"[16, 16, 16]",True,0.7,0.001,16,20,Adam,0.5,1.3818413019180298,0.3845076994867009
"[16, 16, 16]",True,0.7,0.001,16,20,SGD,0.5,1.5905466079711914,0.22701819878674756
"[16, 16, 16]",True,0.7,0.0001,16,20,Adam,0.5,1.4756914377212524,0.3446103593093794
"[16, 16, 16]",True,0.7,0.0001,16,20,SGD,0.5,1.6075575351715088,0.1838544097060196
"[128, 16]",True,0.7,0.001,16,20,Adam,0.5,1.2533031702041626,0.5230984601026598
"[128, 16]",True,0.7,0.001,16,20,SGD,0.5,1.507938265800476,0.42487167522165187
"[128, 16]",True,0.7,0.0001,16,20,Adam,0.5,1.2823472023010254,0.5060662622491834
"[128, 16]",True,0.7,0.0001,16,20,SGD,0.5,1.6239643096923828,0.20858609426038263
"[64, 32]",True,0.3,0.001,16,20,Adam,1.5,1.1110996007919312,0.5615958936070928
"[64, 32]",True,0.3,0.001,16,20,SGD,1.5,1.2150652408599854,0.5139990667288847
"[64, 32]",True,0.3,0.0001,16,20,Adam,1.5,1.159096360206604,0.5319645356976201
"[64, 32]",True,0.3,0.0001,16,20,SGD,1.5,1.4230579137802124,0.43887074195053666
"[16, 16, 16]",True,0.3,0.001,16,20,Adam,1.5,1.2079243659973145,0.5151656556229585
"[16, 16, 16]",True,0.3,0.001,16,20,SGD,1.5,1.3211023807525635,0.48530097993467103
"[16, 16, 16]",True,0.3,0.0001,16,20,Adam,1.5,1.264266848564148,0.5088660755949603
"[16, 16, 16]",True,0.3,0.0001,16,20,SGD,1.5,1.521060824394226,0.32711152589827347
"[128, 16]",True,0.3,0.001,16,20,Adam,1.5,1.1221851110458374,0.5671955202986467
"[128, 16]",True,0.3,0.001,16,20,SGD,1.5,1.2135347127914429,0.5296313579094727
"[128, 16]",True,0.3,0.0001,16,20,Adam,1.5,1.1524063348770142,0.5524965002333178
"[128, 16]",True,0.3,0.0001,16,20,SGD,1.5,1.4579780101776123,0.42160522631824543
"[64, 32]",True,0.7,0.001,16,20,Adam,1.5,1.2201775312423706,0.49720018665422305
"[64, 32]",True,0.7,0.001,16,20,SGD,1.5,1.3682829141616821,0.46033597760149325
"[64, 32]",True,0.7,0.0001,16,20,Adam,1.5,1.2601381540298462,0.48786747550163323
"[64, 32]",True,0.7,0.0001,16,20,SGD,1.5,1.5502982139587402,0.3268782081194587
"[16, 16, 16]",True,0.7,0.001,16,20,Adam,1.5,1.4025782346725464,0.3784414372375175
"[16, 16, 16]",True,0.7,0.001,16,20,SGD,1.5,1.5668314695358276,0.29561362575828276
"[16, 16, 16]",True,0.7,0.0001,16,20,Adam,1.5,1.4911446571350098,0.34344377041530566
"[16, 16, 16]",True,0.7,0.0001,16,20,SGD,1.5,1.5974469184875488,0.18665422305179655
"[128, 16]",True,0.7,0.001,16,20,Adam,1.5,1.2646880149841309,0.512832477834811
"[128, 16]",True,0.7,0.001,16,20,SGD,1.5,1.3829001188278198,0.4769015398973402
"[128, 16]",True,0.7,0.0001,16,20,Adam,1.5,1.2879607677459717,0.5046663555762949
"[128, 16]",True,0.7,0.0001,16,20,SGD,1.5,1.5823335647583008,0.2923471768548763
"[64, 32]",True,0.3,0.001,32,20,Adam,0.5,1.0974410772323608,0.5674288380774615
"[64, 32]",True,0.3,0.001,32,20,SGD,0.5,1.3145312070846558,0.4944003733084461
"[64, 32]",True,0.3,0.0001,32,20,Adam,0.5,1.1535495519638062,0.5431637890807279
"[64, 32]",True,0.3,0.0001,32,20,SGD,0.5,1.5481157302856445,0.29561362575828276
"[16, 16, 16]",True,0.3,0.001,32,20,Adam,0.5,1.193613052368164,0.5212319178721418
"[16, 16, 16]",True,0.3,0.001,32,20,SGD,0.5,1.4377650022506714,0.41157256182921137
"[16, 16, 16]",True,0.3,0.0001,32,20,Adam,0.5,1.2649933099746704,0.4969668688754083
"[16, 16, 16]",True,0.3,0.0001,32,20,SGD,0.5,1.605549931526184,0.2078861409239384
"[128, 16]",True,0.3,0.001,32,20,Adam,0.5,1.0947256088256836,0.5734951003266449
"[128, 16]",True,0.3,0.001,32,20,SGD,0.5,1.337498664855957,0.48693420438637425
"[128, 16]",True,0.3,0.0001,32,20,Adam,0.5,1.1521612405776978,0.550396640223985
"[128, 16]",True,0.3,0.0001,32,20,SGD,0.5,1.6012259721755981,0.26388240783947736
"[64, 32]",True,0.7,0.001,32,20,Adam,0.5,1.2054760456085205,0.5370975268315445
"[64, 32]",True,0.7,0.001,32,20,SGD,0.5,1.51274836063385,0.4076061595893607
"[64, 32]",True,0.7,0.0001,32,20,Adam,0.5,1.2743945121765137,0.49976668222118525
"[64, 32]",True,0.7,0.0001,32,20,SGD,0.5,1.5901635885238647,0.2176854876341577
"[16, 16, 16]",True,0.7,0.001,32,20,Adam,0.5,1.361174464225769,0.3912739150723285
"[16, 16, 16]",True,0.7,0.001,32,20,SGD,0.5,1.5926594734191895,0.23938404106392908
"[16, 16, 16]",True,0.7,0.0001,32,20,Adam,0.5,1.5020341873168945,0.3399440037330845
"[16, 16, 16]",True,0.7,0.0001,32,20,SGD,0.5,1.6146639585494995,0.17638824078394774
"[128, 16]",True,0.7,0.001,32,20,Adam,0.5,1.2289916276931763,0.5195986934204386
"[128, 16]",True,0.7,0.001,32,20,SGD,0.5,1.5310678482055664,0.39874008399440036
"[128, 16]",True,0.7,0.0001,32,20,Adam,0.5,1.289612889289856,0.49813345776948204
"[128, 16]",True,0.7,0.0001,32,20,SGD,0.5,1.6312334537506104,0.19692020531964535
"[64, 32]",True,0.3,0.001,32,20,Adam,1.5,1.0990740060806274,0.5725618292113859
"[64, 32]",True,0.3,0.001,32,20,SGD,1.5,1.2266074419021606,0.5205319645356976
"[64, 32]",True,0.3,0.0001,32,20,Adam,1.5,1.1561557054519653,0.5433971068595427
"[64, 32]",True,0.3,0.0001,32,20,SGD,1.5,1.4612557888031006,0.4246383574428371
"[16, 16, 16]",True,0.3,0.001,32,20,Adam,1.5,1.19791841506958,0.5216985534297713
"[16, 16, 16]",True,0.3,0.001,32,20,SGD,1.5,1.3776841163635254,0.45613625758282783
"[16, 16, 16]",True,0.3,0.0001,32,20,Adam,1.5,1.271878719329834,0.4969668688754083
"[16, 16, 16]",True,0.3,0.0001,32,20,SGD,1.5,1.5502270460128784,0.2650489967335511
"[128, 16]",True,0.3,0.001,32,20,Adam,1.5,1.097791314125061,0.5725618292113859
"[128, 16]",True,0.3,0.001,32,20,SGD,1.5,1.2348761558532715,0.5212319178721418
"[128, 16]",True,0.3,0.0001,32,20,Adam,1.5,1.1552700996398926,0.550396640223985
"[128, 16]",True,0.3,0.0001,32,20,SGD,1.5,1.4966039657592773,0.3882407839477368
"[64, 32]",True,0.7,0.001,32,20,Adam,1.5,1.2118210792541504,0.528464769015399
"[64, 32]",True,0.7,0.001,32,20,SGD,1.5,1.4219369888305664,0.45986934204386376
"[64, 32]",True,0.7,0.0001,32,20,Adam,1.5,1.2810864448547363,0.5
"[64, 32]",True,0.7,0.0001,32,20,SGD,1.5,1.5650079250335693,0.2655156322911806
"[16, 16, 16]",True,0.7,0.001,32,20,Adam,1.5,1.3797000646591187,0.3985067662155856
"[16, 16, 16]",True,0.7,0.001,32,20,SGD,1.5,1.5862349271774292,0.23775081661222586
"[16, 16, 16]",True,0.7,0.0001,32,20,Adam,1.5,1.5216971635818481,0.3303779748016799
"[16, 16, 16]",True,0.7,0.0001,32,20,SGD,1.5,1.6039831638336182,0.17942137190853943
"[128, 16]",True,0.7,0.001,32,20,Adam,1.5,1.2384151220321655,0.5139990667288847
"[128, 16]",True,0.7,0.001,32,20,SGD,1.5,1.4200931787490845,0.47013532431171257
"[128, 16]",True,0.7,0.0001,32,20,Adam,1.5,1.297800898551941,0.4995333644423705
"[128, 16]",True,0.7,0.0001,32,20,SGD,1.5,1.597231149673462,0.26271581894540363
"[64, 32]",False,0.3,0.001,16,20,Adam,0.5,1.0794581174850464,0.5727951469902006
"[64, 32]",False,0.3,0.001,16,20,SGD,0.5,1.2958518266677856,0.4855342977134858
"[64, 32]",False,0.3,0.0001,16,20,Adam,0.5,1.1448920965194702,0.5473635090993934
"[64, 32]",False,0.3,0.0001,16,20,SGD,0.5,1.5717538595199585,0.3056462902473168
"[16, 16, 16]",False,0.3,0.001,16,20,Adam,0.5,1.182543396949768,0.5200653289780681
"[16, 16, 16]",False,0.3,0.001,16,20,SGD,0.5,1.4498032331466675,0.3574428371441904
"[16, 16, 16]",False,0.3,0.0001,16,20,Adam,0.5,1.2859632968902588,0.4554363042463836
"[16, 16, 16]",False,0.3,0.0001,16,20,SGD,0.5,1.6101218461990356,0.18478768082127858
"[128, 16]",False,0.3,0.001,16,20,Adam,0.5,1.0816019773483276,0.5727951469902006
"[128, 16]",False,0.3,0.001,16,20,SGD,0.5,1.2973376512527466,0.49883341110592627
"[128, 16]",False,0.3,0.0001,16,20,Adam,0.5,1.1432822942733765,0.5464302379841344
"[128, 16]",False,0.3,0.0001,16,20,SGD,0.5,1.594946265220642,0.2799813345776948
"[64, 32]",False,0.7,0.001,16,20,Adam,0.5,1.18532395362854,0.5359309379374708
"[64, 32]",False,0.7,0.001,16,20,SGD,0.5,1.5031154155731201,0.4328044797013532
"[64, 32]",False,0.7,0.0001,16,20,Adam,0.5,1.2362072467803955,0.514699020065329
"[64, 32]",False,0.7,0.0001,16,20,SGD,0.5,1.593635082244873,0.22235184321045265
"[16, 16, 16]",False,0.7,0.001,16,20,Adam,0.5,1.3623188734054565,0.4122725151656556
"[16, 16, 16]",False,0.7,0.001,16,20,SGD,0.5,1.599587082862854,0.21371908539430703
"[16, 16, 16]",False,0.7,0.0001,16,20,Adam,0.5,1.4243298768997192,0.3646756882874475
"[16, 16, 16]",False,0.7,0.0001,16,20,SGD,0.5,1.6112004518508911,0.18408772748483435
"[128, 16]",False,0.7,0.001,16,20,Adam,0.5,1.2148091793060303,0.5405972935137657
"[128, 16]",False,0.7,0.001,16,20,SGD,0.5,1.5385278463363647,0.447736817545497
"[128, 16]",False,0.7,0.0001,16,20,Adam,0.5,1.253705620765686,0.51376574895007
"[128, 16]",False,0.7,0.0001,16,20,SGD,0.5,1.616381049156189,0.20858609426038263
"[64, 32]",False,0.3,0.001,16,20,Adam,1.5,1.0817079544067383,0.5711619225384974
"[64, 32]",False,0.3,0.001,16,20,SGD,1.5,1.2339264154434204,0.5051329911339244
"[64, 32]",False,0.3,0.0001,16,20,Adam,1.5,1.1457617282867432,0.5473635090993934
"[64, 32]",False,0.3,0.0001,16,20,SGD,1.5,1.559181571006775,0.3518432104526365
"[16, 16, 16]",False,0.3,0.001,16,20,Adam,1.5,1.185661792755127,0.5193653756416239
"[16, 16, 16]",False,0.3,0.001,16,20,SGD,1.5,1.4440659284591675,0.35930937937470836
"[16, 16, 16]",False,0.3,0.0001,16,20,Adam,1.5,1.287786602973938,0.45263649090060665
"[16, 16, 16]",False,0.3,0.0001,16,20,SGD,1.5,1.6101031303405762,0.18478768082127858
"[128, 16]",False,0.3,0.001,16,20,Adam,1.5,1.0827891826629639,0.5706952869808679
"[128, 16]",False,0.3,0.001,16,20,SGD,1.5,1.2280113697052002,0.512832477834811
"[128, 16]",False,0.3,0.0001,16,20,Adam,1.5,1.1441494226455688,0.5461969202053196
"[128, 16]",False,0.3,0.0001,16,20,SGD,1.5,1.5808072090148926,0.34484367708819413
"[64, 32]",False,0.7,0.001,16,20,Adam,1.5,1.1835356950759888,0.5317312179188054
"[64, 32]",False,0.7,0.001,16,20,SGD,1.5,1.3819811344146729,0.47666822211852544
"[64, 32]",False,0.7,0.0001,16,20,Adam,1.5,1.2391842603683472,0.5149323378441437
"[64, 32]",False,0.7,0.0001,16,20,SGD,1.5,1.5774164199829102,0.27554829678021464
"[16, 16, 16]",False,0.7,0.001,16,20,Adam,1.5,1.3560842275619507,0.40737284181054595
"[16, 16, 16]",False,0.7,0.001,16,20,SGD,1.5,1.5916070938110352,0.23658422771815213
"[16, 16, 16]",False,0.7,0.0001,16,20,Adam,1.5,1.4469274282455444,0.3579094727018199
"[16, 16, 16]",False,0.7,0.0001,16,20,SGD,1.5,1.6092991828918457,0.19902006532897806
"[128, 16]",False,0.7,0.001,16,20,Adam,1.5,1.2122105360031128,0.5424638357442837
"[128, 16]",False,0.7,0.001,16,20,SGD,1.5,1.374311923980713,0.49416705552963136
"[128, 16]",False,0.7,0.0001,16,20,Adam,1.5,1.2572377920150757,0.5123658422771815
"[128, 16]",False,0.7,0.0001,16,20,SGD,1.5,1.6026593446731567,0.2764815678954736
"[64, 32]",False,0.3,0.001,32,20,Adam,0.5,1.0890296697616577,0.5725618292113859
"[64, 32]",False,0.3,0.001,32,20,SGD,0.5,1.36094069480896,0.47200186654223053
"[64, 32]",False,0.3,0.0001,32,20,Adam,0.5,1.1564809083938599,0.54129724685021
"[64, 32]",False,0.3,0.0001,32,20,SGD,0.5,1.5840266942977905,0.2526831544563696
"[16, 16, 16]",False,0.3,0.001,32,20,Adam,0.5,1.187436580657959,0.5228651423238451
"[16, 16, 16]",False,0.3,0.001,32,20,SGD,0.5,1.5924426317214966,0.25618292113859076
"[16, 16, 16]",False,0.3,0.0001,32,20,Adam,0.5,1.308441162109375,0.430237984134391
"[16, 16, 16]",False,0.3,0.0001,32,20,SGD,0.5,1.6135379076004028,0.19178721418572095
"[128, 16]",False,0.3,0.001,32,20,Adam,0.5,1.0828721523284912,0.5730284647690154
"[128, 16]",False,0.3,0.001,32,20,SGD,0.5,1.3645050525665283,0.47666822211852544
"[128, 16]",False,0.3,0.0001,32,20,Adam,0.5,1.154516577720642,0.5419972001866542
"[128, 16]",False,0.3,0.0001,32,20,SGD,0.5,1.6058523654937744,0.22375174988334112
"[64, 32]",False,0.7,0.001,32,20,Adam,0.5,1.186458945274353,0.5331311245916939
"[64, 32]",False,0.7,0.001,32,20,SGD,0.5,1.5364937782287598,0.4010732617825478
"[64, 32]",False,0.7,0.0001,32,20,Adam,0.5,1.2595549821853638,0.5037330844610359
"[64, 32]",False,0.7,0.0001,32,20,SGD,0.5,1.5970956087112427,0.21465235650956602
"[16, 16, 16]",False,0.7,0.001,32,20,Adam,0.5,1.3473104238510132,0.40527298180121324
"[16, 16, 16]",False,0.7,0.001,32,20,SGD,0.5,1.6050784587860107,0.2130191320578628
"[16, 16, 16]",False,0.7,0.0001,32,20,Adam,0.5,1.471600890159607,0.353243117125525
"[16, 16, 16]",False,0.7,0.0001,32,20,SGD,0.5,1.6130448579788208,0.18992067195520299
"[128, 16]",False,0.7,0.001,32,20,Adam,0.5,1.2108328342437744,0.5282314512365842
"[128, 16]",False,0.7,0.001,32,20,SGD,0.5,1.5736044645309448,0.3826411572561829
"[128, 16]",False,0.7,0.0001,32,20,Adam,0.5,1.2695820331573486,0.5030331311245917
"[128, 16]",False,0.7,0.0001,32,20,SGD,0.5,1.6200286149978638,0.19272048530097993
"[64, 32]",False,0.3,0.001,32,20,Adam,1.5,1.089113473892212,0.5716285580961269
"[64, 32]",False,0.3,0.001,32,20,SGD,1.5,1.3354843854904175,0.4799346710219319
"[64, 32]",False,0.3,0.0001,32,20,Adam,1.5,1.156383991241455,0.54129724685021
"[64, 32]",False,0.3,0.0001,32,20,SGD,1.5,1.5831348896026611,0.25571628558096127
"[16, 16, 16]",False,0.3,0.001,32,20,Adam,1.5,1.1885905265808105,0.5212319178721418
"[16, 16, 16]",False,0.3,0.001,32,20,SGD,1.5,1.5924426317214966,0.25618292113859076
"[16, 16, 16]",False,0.3,0.0001,32,20,Adam,1.5,1.3091531991958618,0.430237984134391
"[16, 16, 16]",False,0.3,0.0001,32,20,SGD,1.5,1.6135377883911133,0.19178721418572095
"[128, 16]",False,0.3,0.001,32,20,Adam,1.5,1.0831161737442017,0.5746616892207186
"[128, 16]",False,0.3,0.001,32,20,SGD,1.5,1.3145135641098022,0.4944003733084461
"[128, 16]",False,0.3,0.0001,32,20,Adam,1.5,1.1548088788986206,0.5424638357442837
"[128, 16]",False,0.3,0.0001,32,20,SGD,1.5,1.6043564081192017,0.22911805879608027
"[64, 32]",False,0.7,0.001,32,20,Adam,1.5,1.1871991157531738,0.5279981334577695
"[64, 32]",False,0.7,0.001,32,20,SGD,1.5,1.4813849925994873,0.44027064862342513
"[64, 32]",False,0.7,0.0001,32,20,Adam,1.5,1.263274908065796,0.5025664955669622
"[64, 32]",False,0.7,0.0001,32,20,SGD,1.5,1.5894678831100464,0.22958469435370976
"[16, 16, 16]",False,0.7,0.001,32,20,Adam,1.5,1.3559000492095947,0.4008399440037331
"[16, 16, 16]",False,0.7,0.001,32,20,SGD,1.5,1.6050214767456055,0.2130191320578628
"[16, 16, 16]",False,0.7,0.0001,32,20,Adam,1.5,1.4867297410964966,0.3492767148856743
"[16, 16, 16]",False,0.7,0.0001,32,20,SGD,1.5,1.6123827695846558,0.18735417638824078
"[128, 16]",False,0.7,0.001,32,20,Adam,1.5,1.2150508165359497,0.523798413439104
"[128, 16]",False,0.7,0.001,32,20,SGD,1.5,1.499176025390625,0.460569295380308
"[128, 16]",False,0.7,0.0001,32,20,Adam,1.5,1.2750355005264282,0.5041997200186654
"[128, 16]",False,0.7,0.0001,32,20,SGD,1.5,1.6116385459899902,0.2358842743817079
